,author_id,author_name,canonical_key,last_name,first_name,middle_name,extra
1,28,"Allsburg, Kurt M. Van",allsburg|kmv,Allsburg,Kurt,M,Van
2,42,"ANDREWS, J A M E S V.",andrews|jv,ANDREWS,JAMES,V,
3,84,"Barriga, F J A S",barriga|f,Barriga,F,J A S,
4,98,"Benjamin J Drenth, Ph.D",benjaminjdrenth|p,Drenth,Benjamin,J,Ph.D
5,100,"Bennett, S E K",bennett|s,Bennett,S,E K,
6,122,"Blackwell, Noel J S",blackwell|nj,Blackwell,Noel,J S,
7,178,"Calvo, J A M",calvo|j,Calvo,J,A M,
8,182,"Campos, D S De",campos|dd,Campos,D,S,De
9,188,"Carroll, R W H",carroll|r,Carroll,R,W H,
10,191,"Case, George N. D.",case|gnd,Case,George,N D,
11,195,"Chase, Brandon Franklin Werner",chase|bfw,Chase,Brandon,Franklin Werner,
12,237,"Corral, F J G",corral|f,Corral,F,J G,
13,338,"Espinoza, Luis A. Tercero",espinoza|lat,Espinoza,Luis,A,Tercero 
14,387,"F, D A V I D",f|d,F,DAVID,,
15,421,"Glen, Jonathan M G",glen|jm,Glen,Jonathan,M G,
16,429,"Gosen, B S Van",gosen|bv,Gosen,B,S,Van
17,434,"Grauch, V. J. S.",grauch|vjs,Grauch,V,J S,
18,451,"Hakim, A Y A",hakim|a,Hakim,A,Y A,
19,484,"Hede, A N H",hede|a,Hede,A,N H,
20,507,"Holland, M. S P",holland|ms,Holland,M,S P,
21,529,"Hub, E N D G I S",hub|e,Hub,E,N D G I S,
22,530,"Hub, N D G I S",hub|n,Hub,N,D G I S,
23,536,"Hung, Rita Elena Fereira",hung|ref,Hung,Rita,Elena,Fereira
24,548,"III, C A Cravotta",iii|cc,Cravotta,C,A,III
25,549,"III, J V Jones",iii|jj,Jones,J,V,III
26,550,"III, James V. Jones",iii|jvj,Jones,James,V,III
27,584,"John S. Placyk, Jr",johnsplacyk|j,Placyk,John,S,Jr
28,588,"Jones, J.V., I I I",jones|ji,Jones,JV,I I I,
29,592,"Jr, G R Robinson",jr|gr,Robinson,G,R,Jr
30,593,"Jr, J O Ellis",jr|je,Ellis,J,O,Jr
31,594,"Jr, J W Horton",jr|jh,Horton,J,W,Jr
32,595,"Jr, J. W. Horton",jr|jwh,Horton,J,W,Jr
33,596,"Jr, William M. Andrews",jr|wma,Andrews,William,M,Jr
34,599,"J.V. Jones, I I I",jvjones|i,Jones,J,V,III
35,601,"Kablan, O A B K",kablan|o,Kablan,O,A B K,
36,663,"Kylander-Clark, A R C",kylanderclark|a,Kylander-Clark,A,R C,
37,667,"Langhans, A D Allen",langhans|aa,Langhans,A,D,Allen
38,674,"Lawley, C J M",lawley|c,Lawley,C,J M,
39,710,"Lozano, Cristian David Gomez",lozano|cdg,Lozano,Cristian,David,Gomez
40,789,"Meter, K J Van",meter|kv,Meter,K,J,Van
41,799,"Miller, Q R S",miller|q,Miller,Q,R S,
42,806,"Model, E B K R P",model|e,Model,E,B K R P,
43,866,"Nguyen, L H B",nguyen|l,Nguyen,L,H B,
44,996,"Robert R. Seal, I I",robertrseal|i,Seal,Robert,R,II
45,1001,"Rodrigues, F J L",rodrigues|f,Rodrigues,F,J L,
46,1013,"R.R. Seal, I I",rrseal|i,Seal,Robert,R,II
47,1050,"Sener, S E Can",sener|sc,Sener,S,E,Can
48,1053,"Shah, S Y A",shah|s,Shah,S,Y A,
49,1066,"SHIRLEY, E T H A N A.",shirley|ea,SHIRLEY,ETHANA,,
50,1076,"Simões, V H P",simes|v,Simões,V,H P,
51,1123,"Sudhakar, A V V",sudhakar|a,Sudhakar,A,V V,
52,1167,"Torrez, L F A",torrez|l,Torrez,L,F A,
53,1191,"Vegetation-raster, N D L",vegetationraster|n,Vegetation-raster,N,D L,
54,1233,"Westerhof, A B Phil",westerhof|ap,Westerhof,A,B,Phil
55,1247,"Willis, B T M",willis|b,Willis,B,T M,
56,1261,"Wu, Connor Y. H.",wu|cyh,Wu,Connor,Y H,
57,1301,"Zafra, J L Torres",zafra|jt,Zafra,J,L,Torres
