X_LLM_Publisher,replacement
NA,
MDPI,
Annual Reviews,
Fraunhofer Verlag,
American Chemical Society (ACS),American Chemical Society
American Geophysical Union (via Wiley),American Geophysical Union
Elsevier,
AAAS (Science),American Association for the Advancement of Science
Springer Nature,
PNAS (National Academy of Sciences),Proceedings of the National Academy of Sciences of the United States of America
Ecological Society of America (via Wiley),Ecological Society of America
ResearchGate (hosted copy),ResearchGate
"GRID-Geneva, United Nations Environment Programme","Global Resource Information Database (GRID-Geneva), United Nations Environment Programme"
Springer,
Taylor & Francis,
EBSCOhost (aggregator),EBSCOhost Research Platform
GeoScienceWorld,
National Ground Water Association (via Wiley),National Ground Water Association
Frontiers,
Wiley,
Cambridge University Press,
American Chemical Society,
European Association of Geoscientists & Engineers,
U.S. Geological Survey,
AIP Publishing,"AIP Publishing, American Institute of Physics"
apps.dtic.mil,Defense Techinical Information Center
Canadian Science Publishing,
IOP Publishing,"IOP Publishing, Institute of Physics"
Oxford University Press on behalf of the Society of American Foresters,
U.S. International Trade Commission,
www.cell.com,Cell Press
www.erudit.org,Erudit
www.researching.cn,"Researching, Chinese Laser Press"
Oxford University Press (OUP),Oxford University Press
Geological Society of London (Lyell Collection),Geological Society of London
SAGE Publications,
Mining Engineering Magazine,
Geological Society of London Special Publication,Geological Society of London
elibrary.asabe.org,American Society of Agricultural and Biological Engineers
Informa UK Limited,
CORE (aggregator),Connecting Repositories (CORE)
University of Kentucky,
Royal Meteorological Society (via Wiley),Royal Meteorological Society
www.monash.edu,Monash University
arxiv.org,arXiv
"American Society of Agronomy, Crop Science Society of America, and Soil Science Society of America",
ProQuest (aggregator),ProQuest
www.osti.gov,Office of Scientific and Technical Information
"Society of Economic Geologists, Inc.",
EDP Sciences,
Seismological Society of America,
Google Books (preview),Google Books
ACSESS (via Wiley),"American Society of Agronomy, Crop Science Society of America, and Soil Science Society of America"
www.journals.uchicago.edu,University of Chicago Press Journals
New Mexico Bureau of Geology and Mineral Resources,
Alaska Division of Geological & Geophysical Surveys,
ui.adsabs.harvard.edu,Smithsonian Astrophysical Observatory (SAO) Astrophysics Data System
ieeexplore.ieee.org,IEEE Xplore Digital Library
The Royal Society,
meridian.allenpress.com,"Meridian, Allen Press"
American Society of Civil Engineers (ASCE),American Society of Civil Engineers
research.fs.usda.gov,Forest Service
bioone.org,BioOne
www.jstage.jst.go.jp,"J-STAGE, Japanese Science and Technology Agency"
Johns Hopkins University Press,
University of Helsinki Repository,
bgm.revistas.csic.es,Boletin Geologico y Minero (Geological and Mining Bulletin)
Polytechnic Institute of Lisbon Repository,
pubs.usgs.gov,U.S. Geological Survey
papers.ssrn.com,Social Science Research Network (SSRN)
scholarworks.wm.edu,William & Mary ScholarWorks
STATE OF ALASKA DEPARTMENT OF NATURAL RESOURCES DIVISION OF GEOLOGICAL & GEOPHYSICAL SURVEYS,Alaska Division of Geological & Geophysical Surveys
US Geological Survey,U.S. Geological Survey
Missouri State University,
The Korean Society of Mineral and Energy Resources Engineers,
The University of Arizona,
"STATE OF ALASKA, DEPARTMENT OF NATURAL RESOURCES, DIVISION OF GEOLOGICAL & GEOPHYSICAL SURVEYS",Alaska Division of Geological & Geophysical Surveys
American Foreign Policy Council,
Duke University Repository,
"Museum of Paleontology, University of Michigan",
植物生态学报,Chinese Journal of Plant Ecology
OnePetro (SPE platform),Society of Petroleum Engineers
The Geological Society of America,
RESPEC,
Massachusetts Institute of Technology,
archives.datapages.com,American Association of Petroleum Geologists/Datapages Combined Publications Database
Qucosa Repository,
unitesi.unive.it,Ca' Foscari University of Venice
Manitoba Geological Survey,
ÅBO AKADEMI UNIVERSITY,Abo Akademi University
CPRM-Serviço Geológico do Brasil,Servico Geologico do Brasil (Geological Survey of Brazil)
open-research-europe.ec.europa.eu,Open Research Europe
ELSERVIER,Elsevier
Society of Exploration Geophysicists (SEG),Society of Exploration Geophysicists
CEUR Workshop Proceedings,
conservancy.umn.edu,University of Minnesota Digital Conservancy
Arizona Geological Survey,
