,Publication.Link,Title,Cited.By,Cited.By.Link,X_LLM_Title,X_LLM_Journal,X_LLM_Publisher,X_LLM_Year,X_LLM_Authors,X_LLM_Affiliations,X_LLM_Abstract,X_LLM_Keywords,X_LLM_Funders,X_LLM_Study_Area,X_LLM_Methods,child_authors_and_venue,child_year_guess,child_snippet,child_pdf_link,child_position,X_LLM_SourceUsed,X_LLM_DOI,X_LLM_Authors_Clean,X_LLM_Authors_IDs,X_LLM_Authors_Parsed,Publisher,pub_id,parent_pub_id,NEW_AUTHORS,Notes
1,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5196316,New Directions and Principles for Liquid Solvent Extraction for Recovery of Lithium from Aqueous Brines and Mineral Leachates: A Brief Review,NA,NA,New Directions and Principles for Liquid Solvent Extraction for Recovery of Lithium from Aqueous Brines and Mineral Leachates: A Brief Review,NA,papers.ssrn.com,NA,BR Evans; J Kumar; I Popovs; BA Moyer,Oak Ridge National Laboratory,The increased demand for lithium for manufacturing of batteries is fueling the unprecedented search for improved recovery and alternative sources. Wider source …,lithium; solvent extraction; sorbent; leachate; brine; cation partitioning,NA,"Oak Ridge, TN, United States",liquid-liquid solvent extraction; direct lithium extraction using adsorbents; comparison of solvent extraction processes to adsorption,"BR Evans, J Kumar, I Popovs, BA Moyer… - Available at SSRN … - papers.ssrn.com",2025,The increased demand for lithium for manufacturing of batteries is fueling the unprecedented search for improved recovery and alternative sources. Wider source …,https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=5196316,1,FromColumns,NA,"Evans, B. R.; Kumar, J.; Popovs, I.; Moyer, B. A.",345; 659; 948; 836,"Evans, B R; Kumar, J.; Popovs, I.; Moyer, B A",Social Science Research Network (SSRN),462,45,"Paranthaman, M. Parans","Completed Title, Added child_year_guess, Added new author"
2,https://dggs.alaska.gov/webpubs/dggs/pir/text/pir2025_002.pdf,"BEDROCK GEOLOGIC MAPS OF THE MOUNT HARPER-MIDDLE FORK AREA, VOLKMAR RIVER-HEALY RIVER AREA, GOODPASTER RIVER-SHAW CREEK AREA, AND THE RICHARDSON MINING DISTRICT, ALASKA",NA,NA,"Bedrock geologic maps of the Mount Harper-Middle Fork area, Volkmar River-Healy River area, Goodpaster River-Shaw Creek area, and the Richardson mining district, Alaska",Preliminary Interpretive Report,Alaska Division of Geological & Geophysical Surveys,2025,"Evan Twelker (Alaska Division of Geological & Geophysical Surveys); Rainer J. Newberry (Alaska Division of Geological & Geophysical Surveys); Travis J. Naibert (Alaska Division of Geological & Geophysical Surveys); Alicja Wypych (former Alaska Division of Geological & Geophysical Surveys); Michelle M. Gavel (former Alaska Division of Geological & Geophysical Surveys); Michael L. Barrera (Alaska Division of Geological & Geophysical Surveys); David J. Szumigala (Alaska Division of Geological & Geophysical Surveys); Conner M. Truskowski (Alaska Division of Geological & Geophysical Surveys); Izzy P. Muller (Jackson School of Geosciences, University of Texas Austin); Serena N. Fessenden (former Alaska Division of Geological & Geophysical Surveys); Noel J. Blackwell (former Alaska Division of Geological & Geophysical Surveys); David A. Harvey (former Alaska Division of Geological & Geophysical Surveys); Alec D. Wildland (former Alaska Division of Geological & Geophysical Surveys)","Alaska Division of Geological & Geophysical Surveys; Jackson School of Geosciences, University of Texas Austin","The Mount Harper-Richardson project updates and improves upon the bedrock geologic mapping of a 7,988-sq-km (3,084-sq-mi) area north of the Richardson and Alaska highways between the communities of Salcha and Dot Lake in the Yukon-Tanana Uplands (YTU) of eastern Interior Alaska. The project’s goals are: to better understand the geologic framework of known mineralization, to support the exploration and discovery of new mineral resources in the area, and to build scientific understanding of the geology of the YTU, one of Alaska’s most active and important mineral belts. The project area has been a focus of gold exploration for several decades but also has additional significance for its potential to host critical minerals such as antimony, bismuth, tellurium, and tungsten.",NA,NA,"Yukon-Tanana Uplands, Alaska; Yukon-Tanana Uplands, eastern Interior Alaska",bedrock geologic mapping; rock station collection; geochemical sampling; geochronology sampling,"E Twelker, RJ Newberry, TJ Naibert, A Wypych… - dggs.alaska.gov",2025,"ABSTRACT The Mount Harper-Richardson project updates and improves upon the bedrock geologic mapping of a 7,988-sq-km (3,084-sq-mi) area north of the Richardson and Alaska …",https://dggs.alaska.gov/webpubs/dggs/pir/text/pir2025_002.pdf,3; 1; 4,URL:pdf,https://doi.org/10.14509/31648,"Twelker, E. v. a. n.; Newberry, R. J.; Naibert, T. J.; Wypych, A. l. i. c. j. a.; Gavel, M. M.; Barrera, M. L.; Szumigala, D. J.; Truskowski, C. M.; Muller, I. P.; Fessenden, S. N.; Blackwell, N. J.; Harvey, D. A.; Wildland, A. D.",1178; 864; 859; 1267; 402; 83; 1135; 1176; 845; 359; 122; 474; 1241,"Twelker, Evan; Newberry, Rainer J.; Naibert, Travis J.; Wypych, Alicja; Gavel, Michelle M.; Barrera, Michael L.; Szumigala, David J.; Truskowski, Conner M.; Muller, Izzy P.; Fessenden, Serena N.; Blackwell, Noel J S; Harvey, David A.; Wildland, Alec D.",Alaska Division of Geological & Geophysical Surveys,467,29; 39; 34; 19; 11,,Added child_year_guess
3,https://dggs.alaska.gov/webpubs/dggs/ri/text/ri2021_005c.pdf,CHAPTER C: Regional correlation of metamorphic rocks in the Ladue River-Mount Fairplay map area using trace-element geochemistry,NA,NA,Regional correlation of metamorphic rocks in the Ladue River-Mount Fairplay map area using trace-element geochemistry of metamafic rocks,NA,NA,2021,Travis J. Naibert (Alaska Division of Geological & Geophysical Surveys); Alicja Wypych (Alaska Division of Geological & Geophysical Surveys),Alaska Division of Geological & Geophysical Surveys,This chapter compares trace-element geochemistry of metamafic units from eastern Alaska and Yukon to aid in correlation of regional geologic units. Mafic trace-element geochemistry can also be used to interpret tectonic environment of magmatism during protolith formation.,NA,NA,"Ladue River-Mount Fairplay map area, eastern Alaska",whole-rock geochemical analyses; U-Pb zircon dating; 40Ar/39Ar geochronology,"TJ Naibert, A Wypych - dggs.alaska.gov",2021,The allochthonous Yukon-Tanana Terrane (YTT) and parautochthonous North America (pNA) share Late Devonian and older geologic histories and have similar pre-Mississippian …,https://dggs.alaska.gov/webpubs/dggs/ri/text/ri2021_005c.pdf,4; 7,URL:pdf,10.14509/30739,"Naibert, T. J.; Wypych, A. l. i. c. j. a.",859; 1267,"Naibert, Travis J.; Wypych, Alicja",Alaska Division of Geological & Geophysical Surveys,468,29; 11,,"Completed Title, Added child_year_guess"
4,https://www.academia.edu/download/115104760/SP526-2021-190.pdf,Public geoscience solutions for diversifying Canada's critical mineral production,NA,NA,Achieving net-zero carbon emissions goals will increasingly rely on critical mineral resources,"Geological Society, London, Special Publications",NA,NA,J Peter,NA,"Achieving net-zero carbon emissions goals will increasingly rely on critical mineral resources while simultaneously decreasing the extraction, processing and use of hydrocarbons as the primary provider of energy. Canada is well positioned to contribute to this effort through a series of innovative policy and research initiatives, and it is Canada's goal to be a stable supplier of critical minerals into the future.",NA,Natural Resources Canada; Geological Survey of Canada,Canada,fuzzy logic; index overlay; statistical analysis; GIS modeling; machine learning; multivariate statistical methods,"J Peter - Geological Society, London, Special Publications - academia.edu",2023,"Achieving net-zero carbon emissions goals will increasingly rely on critical mineral resources while simultaneously decreasing the extraction, processing and use of …",NA,6,URL:html,NA,"Peter, J.",930; 388; 674; 1248; 520; 940,"Peter, J.; Gadd, M G; Lawley, C J M; Corriveau, L.; Houlé, M.; Pilote, J.",NA,471,13,"Plouffe, Alain; Potter, Eric;  Sappin, Anne-Aurelie; Marquis, Genevieve; Lebel, Daniel","Added child_year_guess, Added new authors and existing authors 388 (Gadd, M G); 674 (Lawley, C J M); 1248 (Corriveau, L.); 520 (Houlé, M.); 940 (Pilote, J.)"
5,https://www.sfasu.edu/docs/college-sciences-mathematics/sure/sure-24-becky-beyer-poster.pdf,Searching for the K-Pg Iridium Anomaly in Central Arkansas,NA,NA,Searching for the K-Pg Iridium Anomaly in Central Arkansas,NA,NA,NA,"Rebecca Beyer (Stephen F. Austin State University); Mindy Faulkner, PhD (Stephen F. Austin State University)",Stephen F. Austin State University,"Despite iridium’s cruciality in modern industry, it is one of the rarest occurring elements in the Earth’s crust, which an average concentration of 10-12 ppb (0.001-0.0012 ppm). Within the crust there exists thin, stratigraphically horizontal upticks in the concentration of iridium. These concentrations are widely believed to be associated with the impacts of large asteroids, which tend to include relatively high concentrations of iridium in their composition. The most well-known of these iridium anomalies is the Cretaceous-Paleogene (K-Pg) Boundary, which was the result of the Chicxulub asteroid impact that is commonly thought to have led a mass extinction. The concentration of iridium within the K-Pg iridium anomaly is variable where it has not been eroded away, but otherwise encompasses the globe.",NA,Aluminum Company of North America; McGeorge Contracting,"Bauxite, Arkansas",Sample collection from stratigraphic sections; Hand grinding of samples; Thin-film XRF analysis; LA-ICP-MS analysis; Data assessment using Microsoft Excel,"R Beyer, M Faulkner - sfasu.edu",2024,"References Acknowledgements Background Methods and Materials Lithostratigraphy Study Area Contact Results Conclusions Page 1 Rebecca Beyer; Mindy Faulkner, PhD Stephen F …",https://www.sfasu.edu/docs/college-sciences-mathematics/sure/sure-24-becky-beyer-poster.pdf,5,URL:pdf,NA,"Beyer, R. e. b. e. c. c. a.; Mindy Faulkner, P. h. D.",112; 935,"Beyer, Rebecca; PhD",NA,475,23,"Faulkner, Mindy","Added child_year_guess, Added new author (dropped from Parsed fields)"
6,https://dggs.alaska.gov/webpubs/dggs/rdf/text/rdf2024_032.pdf,"40AR/39AR GEOCHRONOLOGY DATA FROM THE LADUE RIVER-MOUNT FAIRPLAY AREA, EASTERN ALASKA",NA,NA,"40Ar/39Ar geochronology data from the Ladue River-Mount Fairplay area, eastern Alaska",NA,Alaska Division of Geological & Geophysical Surveys,2024,Travis J. Naibert (Alaska Division of Geological & Geophysical Surveys); Matthew T. Heizler (New Mexico Bureau of Geology & Mineral Resources); Evan Twelker (Alaska Division of Geological & Geophysical Surveys); Rainer J. Newberry (Alaska Division of Geological & Geophysical Surveys); Alicja Wypych (Alaska Division of Geological & Geophysical Surveys),Alaska Division of Geological & Geophysical Surveys; New Mexico Bureau of Geology & Mineral Resources,"This report presents 40Ar/39Ar geochronology data from the Ladue River-Mount Fairplay area in eastern Alaska, including crystallization ages of igneous rocks and exhumation history of metamorphic rocks.; This report presents 40Ar/39Ar geochronology data from the Ladue River drainage and the upper Dennison Fork of the Fortymile River drainage around Mount Fairplay, eastern Alaska. The study includes 18 samples, providing insights into the crystallization ages of igneous rocks and the exhumation history of metamorphic rocks.; This report presents 40Ar/39Ar geochronology data from the Ladue River drainage and the upper Dennison Fork of the Fortymile River drainage around Mount Fairplay, eastern Alaska. The samples include one volcanic crystallization age, two pluton-alteration ages, and 15 metamorphic cooling ages, aimed at understanding the crystallization ages of igneous rocks and the exhumation history of metamorphic rocks.",NA,NA,"Ladue River-Mount Fairplay area, eastern Alaska",Sample Collection; Sample Preparation; Analytical Methods,"TJ Naibert, MT Heizler, E Twelker, RJ Newberry… - dggs.alaska.gov",2024,"During the 2019 field season, geologists from the Alaska Division of Geological & Geophysical Surveys (DGGS) conducted geologic mapping and sampling in the Tanacross …",https://dggs.alaska.gov/webpubs/dggs/rdf/text/rdf2024_032.pdf,7; 5; 4; 13,URL:pdf,https://doi.org/10.14509/31454,"Naibert, T. J.; Heizler, M. T.; Twelker, E. v. a. n.; Newberry, R. J.; Wypych, A. l. i. c. j. a.",859; 489; 1178; 864; 1267,"Naibert, Travis J.; Heizler, Matthew T.; Twelker, Evan; Newberry, Rainer J.; Wypych, Alicja",Alaska Division of Geological & Geophysical Surveys,502,20; 21; 19; 12; 8,,Added child_year_guess
7,https://dggs.alaska.gov/webpubs/dggs/rdf/text/rdf2025_011.pdf,"40AR/39AR GEOCHRONOLOGY DATA FROM THE BIG DELTA, EAGLE, AND MOUNT HAYES QUADRANGLES, ALASKA",NA,NA,"40Ar/39Ar geochronology data from the Big Delta, Eagle, and Mount Hayes quadrangles, Alaska",NA,Alaska Division of Geological & Geophysical Surveys,2025,Conner M. Truskowski (Alaska Division of Geological & Geophysical Surveys); Matthew T. Heizler (New Mexico Bureau of Geology & Mineral Resources); Travis J. Naibert (Alaska Division of Geological & Geophysical Surveys); Rainer J. Newberry (Alaska Division of Geological & Geophysical Surveys); Evan Twelker (Alaska Division of Geological & Geophysical Surveys); David J. Szumigala (Alaska Division of Geological & Geophysical Surveys),Alaska Division of Geological & Geophysical Surveys; New Mexico Bureau of Geology & Mineral Resources,"This report presents 40Ar/39Ar geochronology data from the Big Delta, Eagle, and Mount Hayes quadrangles in Alaska, detailing the crystallization ages of igneous rocks, the exhumation history of metamorphic rocks, and the timing of mineralization.",NA,U.S. Geological Survey Earth Mapping and Resource Initiative; State of Alaska General Funds,"Big Delta, Eagle, and Mount Hayes quadrangles, Alaska",Sample Collection; Sample Preparation; Analytical Methods,"CM Truskowski, MT Heizler, TJ Naibert, RJ Newberry… - dggs.alaska.gov",2025,"During the 2022 field season, geologists from the Alaska Division of Geological & Geophysical Surveys (DGGS) conducted 1: 100,000-scale geologic mapping of~ 3,100 mi2 …",https://dggs.alaska.gov/webpubs/dggs/rdf/text/rdf2025_011.pdf,2,URL:pdf,https://doi.org/10.14509/31534,"Truskowski, C. M.; Heizler, M. T.; Naibert, T. J.; Newberry, R. J.; Twelker, E. v. a. n.; Szumigala, D. J.",1176; 489; 859; 864; 1178; 1135,"Truskowski, Conner M.; Heizler, Matthew T.; Naibert, Travis J.; Newberry, Rainer J.; Twelker, Evan; Szumigala, David J.",Alaska Division of Geological & Geophysical Surveys,503,39,,Added child_year_guess
8,https://www.afpc.org/uploads/documents/Defense_Technology_Briefing_-_Issue_22.pdf,DEFENSE TECHNOLOGY PROGRAM BRIEF Breaking China's Stranglehold on the U.S. Rare Earth Elements Supply Chain,NA,NA,Breaking China’s Stranglehold on the U.S. Rare Earth Elements Supply Chain,NA,American Foreign Policy Council,2021,Larry M. Wortzel (American Foreign Policy Council); Kate Selley (American Foreign Policy Council),American Foreign Policy Council,"The U.S. has become dependent on China for some of the most crucial materials in high technology production: rare earth elements. This briefing highlights the U.S. dependency on China, the importance of rare earth elements in various technologies, and the need for the U.S. to develop its own resources and cooperate with allies to secure a stable supply chain.",rare earth elements; China; U.S. supply chain; national security; technology,NA,NA,NA,"LM Wortzel, K Selley - afpc.org",2021,"China, for its part, is not afraid to use these metals for political gain. China shocked the world's rare earth-using nations when, in 2010, after a Chinese fishing boat collided with two …",https://www.afpc.org/uploads/documents/Defense_Technology_Briefing_-_Issue_22.pdf,4,URL:pdf,NA,"Wortzel, Larry M.; Selley, K. a. t. e.",1259; 1049,"Wortzel, Larry M.; Selley, Kate",American Foreign Policy Council,518,7,,"Completed Title, Added child_year_guess"
9,https://www.researchgate.net/profile/Laszlo-Erdey/publication/339118805_China_Does_Not_Want_a_Trade_War_-_The_Case_for_Rare_Earth_Elements/links/619d3fd63068c54fa514ea2f/China-Does-Not-Want-a-Trade-War-The-Case-for-Rare-Earth-Elements.pdf,China Does Not Want a Trade War-The Case for Rare Earth Elements,NA,NA,China Does Not Want a Trade War1–The Case for Rare Earth Elements,NA,ResearchGate (hosted copy),2019,ÁMT Tőkés,NA,The aim of this paper is to evaluate China's growing geopolitical importance through a brief overview and an analysis of the US–Chinese relations after World War II. After a brief …,NA,NA,NA,NA,ÁMT Tőkés - Gazdasági és társadalmi tudományos folyóirat - researchgate.net,2019,The aim of this paper is to evaluate China's growing geopolitical importance through a brief overview and an analysis of the US–Chinese relations after World War II. After a brief …,https://www.researchgate.net/profile/Laszlo-Erdey/publication/339118805_China_Does_Not_Want_a_Trade_War_-_The_Case_for_Rare_Earth_Elements/links/619d3fd63068c54fa514ea2f/China-Does-Not-Want-a-Trade-War-The-Case-for-Rare-Earth-Elements.pdf,5,FromColumns,10.24307/psz.2019.1218,"Tőkés, ÁMT",356,"Fenyves, Veronika",ResearchGate,519,7,"Erdey, Laszlo; Markus, Adam; Tibor,Tokes ","Fixed Dash in title, added existing author 356 (Fenyves, Veronika) and 4 new authors"
10,https://dggs.alaska.gov/webpubs/dggs/ri/text/ri2021_005d.pdf,CHAPTER D: STRUCTURAL GEOLOGY OF THE MOUNT FAIRPLAY-LADUE RIVER AREA,NA,NA,Structural Geology of the Mount Fairplay-Ladue River Area,NA,NA,2021,Alec D. Wildland (Alaska Division of Geological & Geophysical Surveys); Travis J. Naibert (Alaska Division of Geological & Geophysical Surveys),Alaska Division of Geological & Geophysical Surveys,"During the 2019 field season, the Mineral Resources section of the Alaska Division of Geological & Geophysical Surveys (DGGS) conducted helicopter-supported bedrock geologic mapping of the Mount Fairplay-Ladue River region, a 4,800 km2 area of the Yukon-Tanana Upland of eastern Alaska. DGGS geologists collected 549 structure measurements, discussed by section below based on the planar feature type, and where appropriate, subdivided by host units. The majority are metamorphic foliations and fold-axial planes. Limited measurements of linear features, such as fold axes, stretched minerals, and intersections lineations, are recorded where observed. Measurements of bedding, fault surfaces, joint surfaces, and vein walls are also limited. Complete field descriptions and locations for station numbers cited can be found in Naibert and others (2020b). Our new geologic mapping (Twelker and others, 2021) extensively revises the known extent of metamorphic terrane boundaries, igneous rocks, and faults. Analysis of the new structural data was undertaken to test prior workers’ metamorphic history and tectonic interpretations for the region, and it provides insights into local structural features within the context of their host unit.",NA,NA,"Mount Fairplay-Ladue River region, Yukon-Tanana Upland, eastern Alaska",helicopter-supported bedrock geologic mapping; structure measurements; 40Ar/39Ar thermochronology,"AD Wildland, TJ Naibert - dggs.alaska.gov",2021,"During the 2019 field season, the Mineral Resources section of the Alaska Division of Geological & Geophysical Surveys (DGGS) conducted helicopter-supported bedrock …",https://dggs.alaska.gov/webpubs/dggs/ri/text/ri2021_005d.pdf,2; 7; 6,URL:pdf,NA,"Wildland, A. D.; Naibert, T. J.",1241; 859,"Wildland, Alec D.; Naibert, Travis J.",Alaska Division of Geological & Geophysical Surveys,523,38; 19; 11,,Added child_year_guess
